mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.599087381362915,0.13354139981997631,0.007580709457397461,0.0010306306911928632,0.65,0.5,0.01,600,1,5,0.05,0.65,"{'subsample': 0.65, 'reg_lambda': 0.5, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.65}",-6.041089524152941,-6.356447620286678,-7.34955482198003,-5.462961096311466,-5.519347709399535,-6.145880154426131,0.6874698224344397,24,-0.003250768892608805,-0.029986054236329676,-0.08666629234610579,-0.16696535553528905,-0.2570402434849566,-0.10878174289905798,0.09295219841953757
1.106462001800537,0.1572703506701157,0.036184072494506836,0.05802647788417764,1.0,1.0,0.01,800,5,2,0.01,0.65,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.01, 'colsample_bytree': 0.65}",-5.908169261452429,-5.764853101083091,-6.042938147844587,-5.276533822094124,-5.239783314288529,-5.6464555293525525,0.3292217761126089,3,-3.681934864142574,-4.186011019403906,-4.418214910762462,-4.277315507952847,-4.4112938116718095,-4.194954022786719,0.2708137282483236
1.299689483642578,0.18511294762586641,0.006006050109863281,0.00032170091610343786,1.0,1.0,0.01,150,1,6,0.05,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-6.203808830746912,-6.0810815165201815,-6.817522241845765,-5.601558169668076,-5.398682165932715,-6.02053058494273,0.49692783638257443,16,-0.12219486500166954,-0.42109733632123036,-0.7215978716589185,-0.8901004580018534,-1.1669806972143626,-0.6643942456396068,0.3633131555237741
0.5562276363372802,0.3750480967728257,0.007424116134643555,0.0011335389132281905,0.8,0.5,1.0,800,5,2,0.12,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 800, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.12, 'colsample_bytree': 0.8}",-6.820740727849593,-6.308944263727862,-7.43509920800001,-5.875581518441468,-5.934796883872277,-6.475032520378242,0.5865191497411245,30,-0.17316700504423682,-0.5490942462120528,-0.9556792846370473,-1.3207757236805722,-1.664323865156944,-0.9326080249461706,0.531121077979109
0.30940842628479004,0.04359622892834367,0.006561279296875,0.0006406528244067341,0.8,5.0,0.01,800,1,2,0.03,0.65,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.65}",-6.300822408380724,-5.869316320972873,-6.396047007682626,-5.228425689339293,-5.2384474139603165,-5.806611768067166,0.5005436633435977,8,-1.8491710723152996,-2.7877482845296977,-3.209855951352431,-3.302241958675575,-3.5216657438922683,-2.934136602153054,0.592501973986422
0.8556742668151855,0.26824870082188795,0.007951879501342773,0.0014031814273675683,0.65,2.0,0.0,600,5,5,0.08,1.0,"{'subsample': 0.65, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",-6.838297276237316,-5.998691225087254,-6.782282551995374,-5.604186990962186,-5.366973907768996,-6.118086390410225,0.6003962060112163,22,-0.010383530643212678,-0.013364488076104178,-0.040108156638701674,-0.0953008226157421,-0.13845938881455966,-0.059523277357664064,0.04986629700360962
0.3802657604217529,0.12111174296154632,0.006721019744873047,0.0006989333097505853,0.65,5.0,1.0,800,8,2,0.03,0.8,"{'subsample': 0.65, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 800, 'min_child_weight': 8, 'max_depth': 2, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",-6.277610705252817,-5.8400851658106445,-6.158471421668643,-5.262498801043113,-5.210965932875708,-5.749926405330185,0.44306938805125995,7,-2.2576874177510433,-2.9724013566711807,-3.2882613932291664,-3.3959270245722877,-3.5929116048476595,-3.1014377594142677,0.46727691372030855
0.5660574913024903,0.16078046096942072,0.007846593856811523,0.0015540633539976325,0.65,1.0,0.01,600,8,4,0.12,1.0,"{'subsample': 0.65, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.12, 'colsample_bytree': 1.0}",-7.112977028447585,-6.625539401585475,-6.861537231391773,-5.83687768612967,-5.4616828812563325,-6.379722845762166,0.6273293905929218,27,-0.011332090987602437,-0.03295190157007289,-0.09919547060705412,-0.19838907056969804,-0.2691631588032692,-0.12220633850753933,0.09817236781656648
0.09653844833374023,0.019659509543849277,0.005686235427856445,0.0013805062801896424,0.8,0.5,0.1,150,8,3,0.05,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-5.932017110150559,-5.857045238863914,-6.143873537255767,-5.315649940113629,-5.262655056181408,-5.702248176513056,0.350567870877684,5,-2.508726210422934,-3.088762537779632,-3.4799978777630654,-3.531966159912603,-3.6862249123458932,-3.259135539644826,0.42373651557937597
0.37943806648254397,0.0664501638046748,0.007931947708129883,0.0012048204099747756,1.0,2.0,0.01,800,1,2,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 2.0, 'reg_alpha': 0.01, 'n_estimators': 800, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-6.080458015774605,-5.6276336354956,-6.190310537792388,-5.3953305481469265,-5.264235867944397,-5.711593721030783,0.3667237101118283,6,-3.6341738686109113,-4.147848160396624,-4.348660676761498,-4.253478660325387,-4.373763031351325,-4.151584879489148,0.2706704493867566
