fold,train_rows,validation_rows,train_start,train_end,validation_start,validation_end
1,137,133,2007-01-16,2007-07-04,2007-07-05,2007-12-15
2,270,133,2007-01-16,2007-12-15,2007-12-16,2008-04-26
3,403,133,2007-01-16,2008-04-26,2008-04-27,2008-09-06
4,536,133,2007-01-16,2008-09-06,2008-09-07,2009-01-17
5,669,133,2007-01-16,2009-01-17,2009-01-18,2009-05-30
