warning_margin,precision,recall,f1,warning_count
0.75,0.2119205298013245,0.9696969696969697,0.34782608695652173,151
0.76,0.2152777777777778,0.9393939393939394,0.3502824858757062,144
0.77,0.22302158273381295,0.9393939393939394,0.36046511627906974,139
0.78,0.22627737226277372,0.9393939393939394,0.36470588235294116,137
0.79,0.2440944881889764,0.9393939393939394,0.3875,127
0.8,0.24603174603174602,0.9393939393939394,0.389937106918239,126
0.81,0.24793388429752067,0.9090909090909091,0.38961038961038963,121
0.8200000000000001,0.25,0.8787878787878788,0.38926174496644295,116
0.8300000000000001,0.24770642201834864,0.8181818181818182,0.38028169014084506,109
0.8400000000000001,0.27835051546391754,0.8181818181818182,0.4153846153846154,97
0.8500000000000001,0.3068181818181818,0.8181818181818182,0.4462809917355372,88
0.8600000000000001,0.3333333333333333,0.7878787878787878,0.46846846846846846,78
0.8700000000000001,0.3561643835616438,0.7878787878787878,0.49056603773584906,73
0.8800000000000001,0.4,0.7878787878787878,0.5306122448979592,65
0.8900000000000001,0.4,0.7272727272727273,0.5161290322580645,60
0.9000000000000001,0.41509433962264153,0.6666666666666666,0.5116279069767442,53
0.9100000000000001,0.4782608695652174,0.6666666666666666,0.5569620253164557,46
0.9200000000000002,0.5,0.6666666666666666,0.5714285714285714,44
0.9300000000000002,0.5116279069767442,0.6666666666666666,0.5789473684210527,43
0.9400000000000002,0.5263157894736842,0.6060606060606061,0.5633802816901409,38
0.9500000000000002,0.5428571428571428,0.5757575757575758,0.5588235294117647,35
0.9600000000000002,0.5454545454545454,0.5454545454545454,0.5454545454545454,33
0.9700000000000002,0.5625,0.5454545454545454,0.5538461538461539,32
0.9800000000000002,0.6296296296296297,0.5151515151515151,0.5666666666666667,27
0.9900000000000002,0.6521739130434783,0.45454545454545453,0.5357142857142857,23
1.0000000000000002,0.625,0.30303030303030304,0.40816326530612246,16
