mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.6100034713745117,0.40473375830745617,0.07228627204895019,0.0012910943278180128,600,15,3,0.9,5,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 0.9, 'max_depth': 5}",-5.525140257721287,-5.469559921159157,-6.084747435837845,-5.418960520522907,-5.200974584593684,-5.539876543966977,0.29377579790586944,16,-4.644210432318892,-4.4318522675524745,-4.412628616556191,-4.236681051200332,-4.32575480948144,-4.410225435421866,0.13599662779794944
1.3835695743560792,0.28444364803510663,0.07824144363403321,0.004989335906863602,600,2,3,0.5,5,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': 5}",-5.329317791820772,-5.388837485046716,-6.0801318531527455,-5.294076339632019,-5.163983849879515,-5.451269463906354,0.3229490886388701,4,-3.9346811234019423,-4.108969230736143,-4.247697762424823,-4.152960405615056,-4.299645065691376,-4.148790717573868,0.12647979545832747
0.9826322555541992,0.37641690713293185,0.0350801944732666,0.0030361505746094204,250,10,1,0.9,,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.9, 'max_depth': None}",-5.342477924926921,-5.72302678764391,-6.345879993278397,-5.375733309055366,-5.155448375427698,-5.5885132780664595,0.42072607375206567,20,-3.7291610945558844,-3.3133368511596024,-3.0627146916232935,-2.785926434399421,-2.723875882192481,-3.1230029907861363,0.36883935740812945
2.3734567642211912,0.560825694985723,0.10360760688781738,0.006535339329027278,800,5,5,0.7,,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 0.7, 'max_depth': None}",-5.327822032971782,-5.492546495958666,-6.105536925158794,-5.393970267082892,-5.073764040095532,-5.478727952253534,0.3426463694495384,8,-4.305718246257341,-3.8182464642466805,-3.597701268078732,-3.3161125485113376,-3.2726247998151723,-3.6620806653818527,0.37793428216098013
1.324989652633667,0.45630920123351354,0.0533811092376709,0.0044070990907706005,400,10,5,1.0,8,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 1.0, 'max_depth': 8}",-5.417668031378836,-5.560207350050412,-6.146248863402833,-5.408068736976349,-5.184956006088339,-5.543429797579354,0.3244424171216206,17,-4.166068313280198,-3.758915484390619,-3.606916750460529,-3.408155430107388,-3.427608967005018,-3.6735329890487507,0.2775690230476257
1.0292291164398193,0.3019681711780198,0.03456554412841797,0.0035090231042712024,250,10,2,1.0,16,"{'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 16}",-5.556095574920824,-5.625709255737923,-6.3534551006119555,-5.41957474993075,-5.197339894426043,-5.630434915125499,0.38995901430796615,23,-3.7872424827736006,-3.3664277080691307,-3.1402280816403043,-2.8646454748429777,-2.812585760323528,-3.194225901529909,0.3573542632719872
1.4373604297637939,0.5946659231460313,0.0563692569732666,0.011403921693449235,400,5,5,1.0,12,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 1.0, 'max_depth': 12}",-5.417668031378836,-5.556300455050898,-6.154022368074453,-5.402270927217907,-5.168729638683751,-5.539798284081169,0.33138046385147946,15,-4.166068313280198,-3.7330908475901095,-3.5184013917632435,-3.260534639694776,-3.1917594373480616,-3.573970925935278,0.3530762994698203
1.170042085647583,0.41130024644306,0.052100515365600585,0.005106078863901993,400,15,8,0.9,,"{'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_features': 0.9, 'max_depth': None}",-5.372320405912176,-5.444939744853666,-5.949691322183289,-5.426296912012444,-5.11230484215217,-5.461110645422749,0.27193152328869313,5,-5.087021898994712,-4.478935988123036,-4.211071417795662,-3.8712182564698097,-3.824625464448924,-4.294574605166429,0.462388885715341
1.412447166442871,0.31883992964007296,0.08178668022155762,0.01668207377874826,600,15,8,0.7,5,"{'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 8, 'max_features': 0.7, 'max_depth': 5}",-5.314074175394126,-5.42785948726056,-5.866708824693643,-5.382684192075412,-5.165018868662687,-5.431269109617285,0.23520361758225508,3,-5.13907011837834,-4.6762060630365765,-4.575395540007936,-4.347786950146074,-4.419258158144921,-4.631543365942769,0.27868026563151593
1.468229627609253,0.4001052896923088,0.07390065193176269,0.002525903833313997,600,10,1,0.5,8,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 8}",-5.305738434180359,-5.50378758617426,-6.27791267684227,-5.294452322765804,-5.118280403084963,-5.500034284609531,0.40764193281943195,10,-3.9294868093442004,-3.5821197336295865,-3.4975972261761425,-3.3155237030857543,-3.426731231249255,-3.550291740696988,0.208787865576466
