model,best_cv_MAE_kWh,training_seconds,best_parameters
Ridge Regression,5.347230643245933,4.758889099997759,"{""model__alpha"": 56.23413251903491}"
Random Forest,5.386671133962858,13.973211199998332,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""min_samples_split"": 2, ""n_estimators"": 400}"
XGBoost,5.447231419802708,7.098584599996684,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
