period,MAE_kWh,RMSE_kWh,MAPE_percent,R2
Training,4.878173610996995,6.311027450823595,22.769128483688743,0.6314723120827098
Validation,4.041491107216177,5.345129772798149,16.774196665378142,0.6352990363208073
Final test,3.723181025801641,5.1040456225734925,18.726593355792534,0.5458191989714091
