mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10312104225158691,0.001809156430805733,0.004020833969116211,0.00036640368917288435,0.001,{'model__alpha': np.float64(0.001)},-43.60040590785916,-31.385569741422774,-5.527002725476734,-5.318163713638342,-5.567299474460641,-18.27968831257153,16.156359782765353,25,-6.94076737702962,-5.953499001330491,-5.662654265722964,-5.473139674313059,-5.430806946159119,-5.8921734529110505,0.5557764764783403
0.11124424934387207,0.006259947955937252,0.003118276596069336,0.0006696514712669087,0.0017782794100389228,{'model__alpha': np.float64(0.0017782794100389228)},-43.29112413791129,-31.260411953842326,-5.526889184645571,-5.318060821452845,-5.567301036953913,-18.192757426961187,16.039175704897108,24,-6.940744936184585,-5.953518611760813,-5.662659769765873,-5.473146086869405,-5.430807640346298,-5.892175408985396,0.5557669046058484
0.10753779411315918,0.0043407105598908475,0.0035102367401123047,0.000667775276440444,0.0031622776601683794,{'model__alpha': np.float64(0.0031622776601683794)},-42.75261669115191,-31.040354733469066,-5.526687289410523,-5.317878218264866,-5.567303792897645,-18.0409681450388,15.83493713615733,23,-6.940709474960304,-5.953553489372029,-5.662670673142653,-5.473157465322804,-5.430808873546742,-5.892179995268906,0.5557514727042641
0.03033161163330078,0.040530910616565795,0.0032021045684814454,0.00099174716562444,0.005623413251903491,{'model__alpha': np.float64(0.005623413251903491)},-41.82961522484886,-30.65677267555757,-5.526328302319635,-5.317554656848386,-5.567308622470512,-17.77951589640899,15.484250776307155,22,-6.940659475252628,-5.953615517320019,-5.662701362474122,-5.47317762118997,-5.430811062559439,-5.892193007759236,0.5557280390501498
0.010587501525878906,0.0009417114538200409,0.0029305458068847657,0.0010966625050427565,0.01,{'model__alpha': np.float64(0.01)},-40.28904286973394,-29.99811282789943,-5.525690051042712,-5.316982907272669,-5.567316986675721,-17.339429128524895,14.89706892167386,21,-6.940606823263662,-5.953725789555189,-5.662755648882619,-5.473213219012777,-5.430814942800377,-5.892223284702925,0.5557001153579361
0.011995029449462891,0.001753776091332658,0.0026299476623535155,0.0008011044403730009,0.01778279410038923,{'model__alpha': np.float64(0.01778279410038923)},-37.8265021041865,-28.895703111154724,-5.524555492288851,-5.315977504237094,-5.5673311587016725,-16.626013874113774,13.953205649301447,20,-6.940604229861245,-5.9539215404944725,-5.662851293109988,-5.473275760342735,-5.430821804154468,-5.892294925592582,0.5556850043367803
0.010776758193969727,0.0004937312949607463,0.003715848922729492,0.00041459022363365673,0.03162277660168379,{'model__alpha': np.float64(0.03162277660168379)},-34.14314036401387,-27.12717631266997,-5.522539428493411,-5.314235450391189,-5.567354179005736,-15.534889146914836,12.527639819987845,19,-6.9407896866131695,-5.954267420131565,-5.663021767351846,-5.473384639142377,-5.430833885762065,-5.892459479800205,0.5557301537691659
0.011039543151855468,0.001038073621652261,0.0036636829376220704,0.0004346811703245112,0.05623413251903491,{'model__alpha': np.float64(0.05623413251903491)},-29.12490116833827,-24.47362886568356,-5.518959773166296,-5.311707064412013,-5.567388423916522,-13.999317059103333,10.554458300575122,18,-6.944567182396371,-5.955318768774699,-5.663328846039032,-5.473578611143668,-5.43085500710616,-5.893529683091986,0.557120615318179
0.01121673583984375,0.0012067430232808507,0.0030272960662841796,0.0007212828944242322,0.1,{'model__alpha': np.float64(0.1)},-23.135645021957107,-20.86408541047535,-5.512615140823269,-5.307463622560436,-5.5674292610987,-12.077447691382973,8.133864779797287,17,-6.9528529503278005,-5.957215937752429,-5.6638502502105075,-5.474184687681375,-5.430891501327824,-5.895799065459988,0.5601487172794217
0.010796594619750976,0.0002763673219921615,0.0029798030853271486,0.0007214406806975737,0.1778279410038923,{'model__alpha': np.float64(0.1778279410038923)},-16.765475185401172,-16.550801567736272,-5.501416337181737,-5.300621168515213,-5.567444069194493,-9.937151665605779,5.488786287538551,16,-6.962022927821293,-5.959941391294531,-5.664743516829114,-5.475220142535384,-5.430953446517557,-5.898576284999575,0.5634294533127948
